H,V,C,MUNSELL_NAME,x,y,Y,OKLCH_L,OKLCH_C,OKLCH_h,sRGB_R,sRGB_G,sRGB_B,IN_SRGB_GAMUT,FAKE_MUNSEL
7.5PB,0.2,2,7.5PB 0.2/2,0.192,0.13,0.237,0.1352034177,0.04930932472,276.1688044,0.01860591312,0.02057563145,0.1086355747,TRUE,FALSE
7.5PB,0.2,4,7.5PB 0.2/4,0.171,0.087,0.237,0.1381687194,0.0722641776,275.0115966,0.01716914814,0.01057616648,0.1469164352,TRUE,FALSE
10PB,0.2,2,10PB 0.2/2,0.227,0.126,0.237,0.1378549157,0.0556799836,300.3496917,0.05021354244,0.01093878475,0.1077962254,TRUE,FALSE
2.5P,0.2,2,2.5P 0.2/2,0.25,0.127,0.237,0.1390809291,0.06077847007,310.8820989,0.06535602792,0.005737722928,0.1047876964,TRUE,FALSE
5P,0.2,2,5P 0.2/2,0.275,0.129,0.237,0.1401774448,0.06657078069,319.4094591,0.07850168772,0.000570094066,0.1008957887,TRUE,FALSE
5GY,0.4,2,5GY 0.4/2,0.358,0.528,0.467,0.1628872451,0.04164096227,130.9836118,0.02921507898,0.06765449546,0.002684676544,TRUE,FALSE
7.5GY,0.4,2,7.5GY 0.4/2,0.312,0.482,0.467,0.1624266687,0.03730454656,142.2991078,0.01726722521,0.06924836941,0.0146600432,TRUE,FALSE
10GY,0.4,2,10GY 0.4/2,0.277,0.445,0.467,0.1620217152,0.03575539512,153.6458631,0.006848539865,0.07056154175,0.02584666622,TRUE,FALSE
2.5G,0.4,2,2.5G 0.4/2,0.258,0.423,0.467,0.161790702,0.03565512157,160.7571322,0.000726851853,0.07126868667,0.03319510062,TRUE,FALSE
2.5PB,0.4,2,2.5PB 0.4/2,0.19,0.196,0.467,0.164726257,0.04043790161,244.1351488,0.0003513710763,0.06095041809,0.1186623027,TRUE,FALSE
5PB,0.4,2,5PB 0.4/2,0.202,0.188,0.467,0.1659226593,0.03876770821,257.7791821,0.01708761714,0.05649643678,0.1214918392,TRUE,FALSE
7.5PB,0.4,2,7.5PB 0.4/2,0.22,0.18,0.467,0.1675410463,0.03929592052,277.1562308,0.0425411831,0.04962268973,0.1237703795,TRUE,FALSE
7.5PB,0.4,4,7.5PB 0.4/4,0.192,0.13,0.467,0.1695029189,0.06181851475,276.1688044,0.03666228451,0.04054188161,0.1620774021,TRUE,FALSE
